bug_id,issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,buggy_sha,patch_sha,patched_files,days_to_fix
1,23179,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23179,Bug: Products REST API don't update the Notes (Private and Public) Property," Bug The /products/{id} REST Call is not Updateing the Notes.  Environment Version 17 beta  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior _No response_  Steps to reproduce the behavior ![image](https://user-images.githubusercontent.com/78662388/206912078-d69691ac-639a-4838-b782-23442458c811.png) See in the ""Response Body"": ""note_public"": ""note_private"": the old values are avalible.  Attached files _No response_",source-file,"Bug: Products REST API don't update the Notes (Private and Public) Property  Bug The /products/{id} REST Call is not Updateing the Notes.  Environment Version 17 beta  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior _No response_  Steps to reproduce the behavior ![image](https://user-images.githubusercontent.com/78662388/206912078-d69691ac-639a-4838-b782-23442458c811.png) See in the ""Response Body"": ""note_public"": ""note_private"": the old values are avalible.  Attached files _No response_ other-file other-file",bug,0.85,9d4007eace679315c8efd2387b931637aeaa8472,61ee3a9942838eb2aa63047dfc160c64dc4e4e68 | 03474219a6059d705632350618805d8143245e40,htdocs/product/class/product.class.php,2
2,23248,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23248,Prices not updated when external user (client) create a propal or command," Bug I just found (and hope to have resolved) a quite tricky bug: In one of my projects, we allow some clients to connect to Dolibarr to create themselves their commands They can add lines to the command, but if they choose a predefined product or service, its price is not copied in #price_ht input A dive in the code shows that /core/tpl/objectline_create.tpl.php make an ajax call to /product/ajax/products.php In this file line ~68 (65 in dev branch) `restrictedArea($user, 'produit|service', 0, 'product&product');` doesnt allow access to external users, and the ajax call throw an error which in not logged :-\ (because of line ~320 `if (!empty($user->socid) && !empty($conf->global->MAIN_MODULES_FOR_EXTERNAL) && !in_array($featureforlistofmodule, $listofmodules)) { // If limits on modules for external users, module must be into list of modules for external users` in /core/lib/security.lib.php) I suggest after tests to change line ~68 in /product/ajax/products.php to `restrictedArea($user, 'produit|service|commande|propal', 0, 'product&product');`  Environment Version All including dev  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior _No response_  Steps to reproduce the behavior _No response_  Attached files _No response_",other-file | other-file,"Prices not updated when external user (client) create a propal or command  Bug I just found (and hope to have resolved) a quite tricky bug: In one of my projects, we allow some clients to connect to Dolibarr to create themselves their commands They can add lines to the command, but if they choose a predefined product or service, its price is not copied in #price_ht input A dive in the code shows that /core/tpl/objectline_create.tpl.php make an ajax call to /product/ajax/products.php In this file line ~68 (65 in dev branch) `restrictedArea($user, 'produit|service', 0, 'product&product');` doesnt allow access to external users, and the ajax call throw an error which in not logged :-\ (because of line ~320 `if (!empty($user->socid) && !empty($conf->global->MAIN_MODULES_FOR_EXTERNAL) && !in_array($featureforlistofmodule, $listofmodules)) { // If limits on modules for external users, module must be into list of modules for external users` in /core/lib/security.lib.php) I suggest after tests to change line ~68 in /product/ajax/products.php to `restrictedArea($user, 'produit|service|commande|propal', 0, 'product&product');`  Environment Version All including dev  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior _No response_  Steps to reproduce the behavior _No response_  Attached files _No response_ other-file other-file",bug,0.9,bdaff375a12dade98b738b05edbc8faf38d8c397,ec9b048e2ec61795f8ba7045d67467e078e4eecf | 5619d634d396bf7a8c0cc3aa02af557e51cf9f8a,htdocs/product/ajax/products.php,376
3,23345,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23345,[API] - Get shipment return DB informations," Bug The call {{host}}/api/index.php/shipments?sortfield=t.rowid&sortorder=ASC&limit=100 responds each line with Db information !! This is a security issue!! The respond contains   ""lines"": [ { ""origin_line_id"": ""2719"", ""fk_origin_line"": ""2719"", ""fk_expedition"": ""638"", ""qty"": ""1"", ""qty_shipped"": ""1"", ""fk_product"": ""127"", ""detail_batch"": [  ""db"": { ""db"": {  }, ""type"": ""mysqli"",   Environment Version 16.0.3  Environment OS Debian  Environment Web server Apache/2.4.38 (Debian)  Environment PHP 7.3.31-1~deb10u2  Environment Database MariaDB 5.5.5-10.3.36-MariaDB-0+deb10u2  Environment URL(s) /api/index.php/shipments  Expected and actual behavior _No response_  Steps to reproduce the behavior curl -X GET --header 'Accept: application/json' --header 'DOLAPIKEY: {passkey}' '{host}/api/index.php/shipments/{id}' where id is a shipment which include product with a serial number  Attached files _No response_",source-file | source-file | source-file,"[API] - Get shipment return DB informations  Bug The call {{host}}/api/index.php/shipments?sortfield=t.rowid&sortorder=ASC&limit=100 responds each line with Db information !! This is a security issue!! The respond contains   ""lines"": [ { ""origin_line_id"": ""2719"", ""fk_origin_line"": ""2719"", ""fk_expedition"": ""638"", ""qty"": ""1"", ""qty_shipped"": ""1"", ""fk_product"": ""127"", ""detail_batch"": [  ""db"": { ""db"": {  }, ""type"": ""mysqli"",   Environment Version 16.0.3  Environment OS Debian  Environment Web server Apache/2.4.38 (Debian)  Environment PHP 7.3.31-1~deb10u2  Environment Database MariaDB 5.5.5-10.3.36-MariaDB-0+deb10u2  Environment URL(s) /api/index.php/shipments  Expected and actual behavior _No response_  Steps to reproduce the behavior curl -X GET --header 'Accept: application/json' --header 'DOLAPIKEY: {passkey}' '{host}/api/index.php/shipments/{id}' where id is a shipment which include product with a serial number  Attached files _No response_ other-file other-file other-file other-file other-file",bug,0.95,e02aa8ab60c3992fc7adfe9aab799d9f9e8af55e,e80425ec75d11f76abbc09c2f67cf98a89ca4b94 | fc9a4df8450d0d26f3151b585d581071567bda4d | e7b8955dcfdbedd8b6319caf3557762554ef0f39,htdocs/core/lib/functions2.lib.php | htdocs/expedition/class/api_shipments.class.php | htdocs/multicurrency/class/api_multicurrencies.class.php,5
4,23415,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23415,REST BOM API - It's able to have a wrong value on the 'ref' Field," Bug It's able to have a wrong value on the 'ref' Field by adding or updating a BOM.  Environment Version 18  Environment OS _No response_  Environment Web server _No response_  Environment PHP PHP 8.1.10  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior **Actual behavior / Problems:** - **If you update a BOM with the API you can change the the status from DRAFT to a other Status, with the same ref e.g. '(PROV54)'** - Currently the 'ref' Field is required. So you can not use the Dolibarr NextNum Generator. **Expected behavior** - If no 'ref' is set on create and the status is 0 (DRAFT) then create a ref '(PROF)'. - If no 'ref' is set on create and the status is grater then > 0, then create a 'ref' with number generator. - If 'ref' is set, use the value from the REST-Call.  Steps to reproduce the behavior _No response_  Attached files _No response_",source-file,"REST BOM API - It's able to have a wrong value on the 'ref' Field  Bug It's able to have a wrong value on the 'ref' Field by adding or updating a BOM.  Environment Version 18  Environment OS _No response_  Environment Web server _No response_  Environment PHP PHP 8.1.10  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior **Actual behavior / Problems:** - **If you update a BOM with the API you can change the the status from DRAFT to a other Status, with the same ref e.g. '(PROV54)'** - Currently the 'ref' Field is required. So you can not use the Dolibarr NextNum Generator. **Expected behavior** - If no 'ref' is set on create and the status is 0 (DRAFT) then create a ref '(PROF)'. - If no 'ref' is set on create and the status is grater then > 0, then create a 'ref' with number generator. - If 'ref' is set, use the value from the REST-Call.  Steps to reproduce the behavior _No response_  Attached files _No response_ other-file other-file other-file",bug,0.85,6df4795dedd2abe07b6f0a846ab74ed99ec5af5a,78b12c8298ca412e5ddd1c5d193fccdd9ee7fd41 | 93f5c69b1c66f57784af9311f9284604b7d45e02 | 75a29a40f33fc8679a75e6ad5a84be2db7eb086c,htdocs/bom/class/api_boms.class.php,2
5,23790,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23790,"Bug: REST API ""/mos/{id}/produceandconsume"" not possible to consume specific MoLines"," Bug The implementation doest correspond the function in Dolibarr. i need feedback if i should revise the function.  Environment Version 17  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior **Expected behavior:** Like the same behavior with the API as in the Dolibarr UI: ![image](https://user-images.githubusercontent.com/78662388/216821734-096cc624-f9c7-432a-958b-f3a52d58aba3.png) _REST Call:_  { ""inventorylabel"": ""Production of MO2301-0005"", ""inventorycode"": ""20230205140301"", ""autoclose"": 1, ""arraytoconsume"": [{""objectId"": 253, ""qty"": 2, ""fk_warehouse"": 1}], ""arraytoproduce"": [] }  **Actual behavior:** The REST Call returns a ""Internal Server Error"". Problems: 1. Only if no value in arraytoconsume and arraytoproduce the API make a ""automatic"" consum and produce over all MoLines. Its crashing if the Stockvalue is lower then the expected qty in the MoLine. 2. The ""objectId"" is linked to fk_product. This is wrong we need a link to the MoLine. 3. If you set a value in arraytoconsume or arraytoproduce then the API function try to generate a new MoLine. The current implementation of the API function make not ""produce and consume"".  Steps to reproduce the behavior _No response_  Attached files _No response_",other-file,"Bug: REST API ""/mos/{id}/produceandconsume"" not possible to consume specific MoLines  Bug The implementation doest correspond the function in Dolibarr. i need feedback if i should revise the function.  Environment Version 17  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) _No response_  Expected and actual behavior **Expected behavior:** Like the same behavior with the API as in the Dolibarr UI: ![image](https://user-images.githubusercontent.com/78662388/216821734-096cc624-f9c7-432a-958b-f3a52d58aba3.png) _REST Call:_  { ""inventorylabel"": ""Production of MO2301-0005"", ""inventorycode"": ""20230205140301"", ""autoclose"": 1, ""arraytoconsume"": [{""objectId"": 253, ""qty"": 2, ""fk_warehouse"": 1}], ""arraytoproduce"": [] }  **Actual behavior:** The REST Call returns a ""Internal Server Error"". Problems: 1. Only if no value in arraytoconsume and arraytoproduce the API make a ""automatic"" consum and produce over all MoLines. Its crashing if the Stockvalue is lower then the expected qty in the MoLine. 2. The ""objectId"" is linked to fk_product. This is wrong we need a link to the MoLine. 3. If you set a value in arraytoconsume or arraytoproduce then the API function try to generate a new MoLine. The current implementation of the API function make not ""produce and consume"".  Steps to reproduce the behavior _No response_  Attached files _No response_ other-file",bug,0.95,1e2e438103070d117b5c1fb48ffb050f4efc1e4a,94759a0ca684ce2fb08ff907fffc41c938dbb468,htdocs/mrp/class/api_mos.class.php,375
6,24661,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24661,Start and end date of contract lines not available in API anymore," Bug In version 17 the contract start and end dates of contract lines are not exposed in the API anymore but are [cleaned before](https://github.com/Dolibarr/dolibarr/blob/b1e62d729754b94d8a50a83f1903ef3197a061e7/htdocs/contrat/class/api_contracts.class.php#L664).  Environment Version 17.0.1  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) /api/index.php/contracts/93  Expected and actual behavior Until version 16, start and end dates of individual contract lines were included in the API response in the fields `date_start`, `date_start_real`, `date_end` and `date_end_real`. This was apparently changed in d597eb8 when the legacy field names were permanently removed. I would expect that the dates continue to be sent in the API as they are not particularly sensitive.  Steps to reproduce the behavior _No response_  Attached files _No response_",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file,"Start and end date of contract lines not available in API anymore  Bug In version 17 the contract start and end dates of contract lines are not exposed in the API anymore but are [cleaned before](https://github.com/Dolibarr/dolibarr/blob/b1e62d729754b94d8a50a83f1903ef3197a061e7/htdocs/contrat/class/api_contracts.class.php#L664).  Environment Version 17.0.1  Environment OS _No response_  Environment Web server _No response_  Environment PHP _No response_  Environment Database _No response_  Environment URL(s) /api/index.php/contracts/93  Expected and actual behavior Until version 16, start and end dates of individual contract lines were included in the API response in the fields `date_start`, `date_start_real`, `date_end` and `date_end_real`. This was apparently changed in d597eb8 when the legacy field names were permanently removed. I would expect that the dates continue to be sent in the API as they are not particularly sensitive.  Steps to reproduce the behavior _No response_  Attached files _No response_ other-file other-file other-file other-file other-file other-file other-file other-file other-file",bug,0.9,9ec5bd6fc7d9f41549834a9e21aca93b86a208f5,5a7226f2ecf810175d59d454e491a75a42ab2306 | 935a730fbc7972e2a63aa524dacd16885f62b478,htdocs/contrat/card.php | htdocs/contrat/class/api_contracts.class.php | htdocs/contrat/class/contrat.class.php | htdocs/core/ajax/row.php | htdocs/install/upgrade2.php | htdocs/langs/en_US/install.lang | htdocs/modulebuilder/template/class/myobject.class.php | htdocs/modulebuilder/template/myobject_card.php,33
7,24780,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24780,500 Error - Serialization error during update of custom field," Bug When I attempt to update a custom field from the facture card, I have a unhandled 500 error. I just updated : - dolibarr from 16.0.4 to 17.0.1 - ubuntu 20.04 to 22.04 - php from 7.4 to 8.1 - pgsql from 12.x to 14.7) This custom field is a simple boolean and was working before the bunch of update. Here is the apache log.  [Mon May 15 21:54:34.209985 2023] [php:error] [pid 5655] [client 12.34.56.78:50449] PHP Fatal error: Uncaught Exception: Serialization of 'PgSql\\Connection' is not allowed in /opt/dolibarr/htdocs/core/lib/functions.lib.php:1167\nStack trace:\n#0 /opt/dolibarr/htdocs/core/lib/functions.lib.php(1167): serialize()\n#1 /opt/dolibarr/htdocs/compta/facture/card.php(2875): dol_clone()\n#2 {main}\n thrown in /opt/dolibarr/htdocs/core/lib/functions.lib.php on line 1167, referer: https://myowidolibarr.ca/compta/facture/card.php?id=61&action=edit_extras&token=hiddentoken&attribute=quickbooks&ignorecollapsesetup=1   Environment Version 17.0.1  Environment OS Ubuntu 22.04 LTS  Environment Web server Apache 2.4  Environment PHP php 8.1.2  Environment Database postgresql 14.7  Environment URL(s) /compta/facture/card.php  Expected and actual behavior **Expected behaviour:** Just refresh the page with updated custom field (box checked in my case) **Actual behaviour:** After submit the update of the single custom field, I see the 500 error on my browser.  Steps to reproduce the behavior Pre-requisite: have a (boolean) custom field on invoice card. Create an invoice without filling the custom field. once created (and validated), click the pen near the custom field to enable input, update the custom field and click Update <- and showtime  Attached files Concern my ""quickbooks"" field <img width=""694"" alt=""image"" src=""https://github.com/Dolibarr/dolibarr/assets/1232923/ed62bed1-d20e-48a8-b53c-0d03f57017bd""> <img width=""1475"" alt=""image"" src=""https://github.com/Dolibarr/dolibarr/assets/1232923/bdd21b75-8db6-4dfb-a482-b6e61a4d16f9"">",other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file,"500 Error - Serialization error during update of custom field  Bug When I attempt to update a custom field from the facture card, I have a unhandled 500 error. I just updated : - dolibarr from 16.0.4 to 17.0.1 - ubuntu 20.04 to 22.04 - php from 7.4 to 8.1 - pgsql from 12.x to 14.7) This custom field is a simple boolean and was working before the bunch of update. Here is the apache log.  [Mon May 15 21:54:34.209985 2023] [php:error] [pid 5655] [client 12.34.56.78:50449] PHP Fatal error: Uncaught Exception: Serialization of 'PgSql\\Connection' is not allowed in /opt/dolibarr/htdocs/core/lib/functions.lib.php:1167\nStack trace:\n#0 /opt/dolibarr/htdocs/core/lib/functions.lib.php(1167): serialize()\n#1 /opt/dolibarr/htdocs/compta/facture/card.php(2875): dol_clone()\n#2 {main}\n thrown in /opt/dolibarr/htdocs/core/lib/functions.lib.php on line 1167, referer: https://myowidolibarr.ca/compta/facture/card.php?id=61&action=edit_extras&token=hiddentoken&attribute=quickbooks&ignorecollapsesetup=1   Environment Version 17.0.1  Environment OS Ubuntu 22.04 LTS  Environment Web server Apache 2.4  Environment PHP php 8.1.2  Environment Database postgresql 14.7  Environment URL(s) /compta/facture/card.php  Expected and actual behavior **Expected behaviour:** Just refresh the page with updated custom field (box checked in my case) **Actual behaviour:** After submit the update of the single custom field, I see the 500 error on my browser.  Steps to reproduce the behavior Pre-requisite: have a (boolean) custom field on invoice card. Create an invoice without filling the custom field. once created (and validated), click the pen near the custom field to enable input, update the custom field and click Update <- and showtime  Attached files Concern my ""quickbooks"" field <img width=""694"" alt=""image"" src=""https://github.com/Dolibarr/dolibarr/assets/1232923/ed62bed1-d20e-48a8-b53c-0d03f57017bd""> <img width=""1475"" alt=""image"" src=""https://github.com/Dolibarr/dolibarr/assets/1232923/bdd21b75-8db6-4dfb-a482-b6e61a4d16f9""> other-file other-file other-file other-file other-file other-file other-file other-file other-file other-file",bug,0.9,9ec5bd6fc7d9f41549834a9e21aca93b86a208f5,933362f450f8180d929645c9d4c4ab4722afbeb6 | 6e0ece32ac4c0a7d192c5175ca7c6a9ca68ebd6b | ae13e10a4be5e7168f3bb3e8d06ba1cf3206c550 | 962137854a49caa23776ea9f1fedeea909d30f4c | dd50db37cedc5db0f4cb32b46918ea590f55d636 | 6d620298b2c55b85de3576a95dee48028847ac3e | 31eeeb25ed5ee5dcaee4e92129a42770a4b5d8ad | e484a589b222b8497e467a84b5d6a4f58fd6f49a | d136f8d1a2ad75f16cdb9eacf8932e2c3fda659c | 8c9a1c2bfcb41e67d436df0c69c7bba47dad98ac,htdocs/core/lib/functions.lib.php,427
8,25929,dolibarr,https://github.com/Dolibarr/dolibarr/issues/25929,error on api_proposals.class.php," Bug if call to endpoint /api/index.php/proposals/xxxxx/lines without sql filter this generate an exception The line 319 of file htdocs/comm/propal/class/api_proposals.class.php say: $this->propal->getLinesArray($sql); and $sql is not set this line would set into if at line 311 if (!empty($sqlfilters)) {  Environment Version 18.0.1  Environment OS Ubuntu 22.04  Environment Web server Nginx  Environment PHP 8.2  Environment Database mariadb 10  Environment URL(s) _No response_  Expected and actual behavior 2023/09/15 13:02:57 [error] 704889#704889: *47475930 FastCGI sent in stderr: ""PHP message: PHP Warning: Undefined variable $sql in /xxxxx/htdocs/comm/propal/class/api_proposals.class.php on line 319"" while reading response header from upstream, client: xxx.xxx.xxx.xx, server: xxxxxxxt, request: ""GET /api/index.php/proposals/nnnnn/lines HTTP/1.1"", upstream: ""fastcgi://unix:/run/php/php8.2-fpm.sock:"", host: ""xxxxxxx""  Steps to reproduce the behavior curl -X GET --header 'Accept: application/json' --header 'DOLAPIKEY: xxxxxx' 'https://xxxxxxx/api/index.php/proposals/nnnnnn/lines'  Attached files _No response_",other-file | other-file | other-file | other-file,"error on api_proposals.class.php  Bug if call to endpoint /api/index.php/proposals/xxxxx/lines without sql filter this generate an exception The line 319 of file htdocs/comm/propal/class/api_proposals.class.php say: $this->propal->getLinesArray($sql); and $sql is not set this line would set into if at line 311 if (!empty($sqlfilters)) {  Environment Version 18.0.1  Environment OS Ubuntu 22.04  Environment Web server Nginx  Environment PHP 8.2  Environment Database mariadb 10  Environment URL(s) _No response_  Expected and actual behavior 2023/09/15 13:02:57 [error] 704889#704889: *47475930 FastCGI sent in stderr: ""PHP message: PHP Warning: Undefined variable $sql in /xxxxx/htdocs/comm/propal/class/api_proposals.class.php on line 319"" while reading response header from upstream, client: xxx.xxx.xxx.xx, server: xxxxxxxt, request: ""GET /api/index.php/proposals/nnnnn/lines HTTP/1.1"", upstream: ""fastcgi://unix:/run/php/php8.2-fpm.sock:"", host: ""xxxxxxx""  Steps to reproduce the behavior curl -X GET --header 'Accept: application/json' --header 'DOLAPIKEY: xxxxxx' 'https://xxxxxxx/api/index.php/proposals/nnnnnn/lines'  Attached files _No response_ other-file other-file other-file other-file",bug,0.95,5a7226f2ecf810175d59d454e491a75a42ab2306,3027f0fd908bb7e0ec02a41e4f770c6199eb4626 | 0d2d68dfc777285d6a9143155a3ade55846c8023 | bb0c53996f8fd662ec34ece2caab40755d004c48,htdocs/comm/propal/class/api_proposals.class.php | htdocs/comm/propal/class/propal.class.php,1
9,26066,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26066,No autorisation control on GET /multicurrencies through API," Bug No autorisation control on GET /multicurrencies through API, where as GET /multicurrencies/bycode/{code} has autorisation control.  Environment Version 18.0.1  Environment OS upshift dolibarr docker image 18.0.1  Environment Web server upshift dolibarr docker image 18.0.1  Environment PHP PHP 8.2.10 (cli) (built: Aug 31 2023 20:34:52) (NTS)  Environment Database 1:11.0.3+maria~ubu2204  Environment URL(s) /api/index.php/multicurrencies?sortfield=t.rowid&sortorder=ASC&limit=100  Expected and actual behavior Expected rejection given that my API key is from a user that only has 3 permissions: 1. read access to products 2. read access to services 3. read access to tags and categories but no, the actual behaviour was that if I just asked for all currencies, then I got the data, where as if I only asked for the EUR currency, then I get `""message"": ""Unauthorized: Insufficient rights to read currency""`  Steps to reproduce the behavior enable modules: products, categories and multicurrency. Setup DKK and Eur currencies.  Attached files ![get_all_currencies](https://github.com/Dolibarr/dolibarr/assets/2551481/d3b6e500-f765-48fa-9cf2-ff6b0780aa46) ![get_EUR_currency](https://github.com/Dolibarr/dolibarr/assets/2551481/e9c3b409-4ed6-4c7a-9b47-b421e502cc7c)",other-file,"No autorisation control on GET /multicurrencies through API  Bug No autorisation control on GET /multicurrencies through API, where as GET /multicurrencies/bycode/{code} has autorisation control.  Environment Version 18.0.1  Environment OS upshift dolibarr docker image 18.0.1  Environment Web server upshift dolibarr docker image 18.0.1  Environment PHP PHP 8.2.10 (cli) (built: Aug 31 2023 20:34:52) (NTS)  Environment Database 1:11.0.3+maria~ubu2204  Environment URL(s) /api/index.php/multicurrencies?sortfield=t.rowid&sortorder=ASC&limit=100  Expected and actual behavior Expected rejection given that my API key is from a user that only has 3 permissions: 1. read access to products 2. read access to services 3. read access to tags and categories but no, the actual behaviour was that if I just asked for all currencies, then I got the data, where as if I only asked for the EUR currency, then I get `""message"": ""Unauthorized: Insufficient rights to read currency""`  Steps to reproduce the behavior enable modules: products, categories and multicurrency. Setup DKK and Eur currencies.  Attached files ![get_all_currencies](https://github.com/Dolibarr/dolibarr/assets/2551481/d3b6e500-f765-48fa-9cf2-ff6b0780aa46) ![get_EUR_currency](https://github.com/Dolibarr/dolibarr/assets/2551481/e9c3b409-4ed6-4c7a-9b47-b421e502cc7c) other-file",bug,0.95,c16313007a90010524cafba67acadcce036b6a9f,62ad3d12d2ee86f2f665f341565860f3e88b076a,htdocs/multicurrency/class/api_multicurrencies.class.php,2
10,26283,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26283,"Contract list services filter error with ""expired service"""," Bug ![image](https://github.com/Dolibarr/dolibarr/assets/1215488/ca6f14f2-5b1f-40b3-858b-3142b99a5e4b) With filter EXPIRED, in list we see also ""NOT EXPIRED"". I suppose that sql query is not correct.  Environment Version Dolibarr >= 18.x  Environment OS all version  Environment Web server all version  Environment PHP all version  Environment Database all version  Environment URL(s) /contrat/services_list.php?leftmenu=contracts&search_status=4&filter=expired  Expected and actual behavior Do not show ""not expired"" services.  Steps to reproduce the behavior Click on top menu ""COMMERCIAL"" Click on left menu ""Expired Services""  Attached files _No response_",other-file,"Contract list services filter error with ""expired service""  Bug ![image](https://github.com/Dolibarr/dolibarr/assets/1215488/ca6f14f2-5b1f-40b3-858b-3142b99a5e4b) With filter EXPIRED, in list we see also ""NOT EXPIRED"". I suppose that sql query is not correct.  Environment Version Dolibarr >= 18.x  Environment OS all version  Environment Web server all version  Environment PHP all version  Environment Database all version  Environment URL(s) /contrat/services_list.php?leftmenu=contracts&search_status=4&filter=expired  Expected and actual behavior Do not show ""not expired"" services.  Steps to reproduce the behavior Click on top menu ""COMMERCIAL"" Click on left menu ""Expired Services""  Attached files _No response_ other-file",bug,0.85,13801c6b991afba884a93abbec4e0d21e3e6bd2b,5dbecd73a0032c1d191c1734fc25ac9244b8b198,htdocs/contrat/services_list.php,401
